iter	RMSE
0	41.23624347
1	40.9213427
2	40.64806918
3	40.40573992
4	40.16563877
5	39.99290721
6	39.83486119
7	39.64715507
8	39.4970501
9	39.34619408
10	39.23890088
11	39.11581956
12	39.01421705
13	38.91962577
14	38.83559234
15	38.74612603
16	38.67337333
17	38.60338805
18	38.54385476
19	38.48332728
20	38.42698668
21	38.37418627
22	38.33297758
23	38.26942647
24	38.22530469
25	38.18530028
26	38.15055295
27	38.12035009
28	38.06841377
29	38.01125591
30	37.97368188
31	37.94257948
32	37.92312789
33	37.89324244
34	37.84835541
35	37.80413219
36	37.78040242
37	37.73895043
38	37.71934542
39	37.69507482
40	37.65103735
41	37.6155765
42	37.59688097
43	37.55800351
44	37.53586554
45	37.50666993
46	37.48749253
47	37.46778972
48	37.45082802
49	37.42945956
50	37.41045383
51	37.39006363
52	37.37931847
53	37.36667993
54	37.35090033
55	37.31977672
56	37.30739539
57	37.27459498
58	37.26448494
59	37.23703585
60	37.22080895
61	37.20366184
62	37.19456525
63	37.17640178
64	37.16573083
65	37.1564743
66	37.13827937
67	37.12586696
68	37.11171966
69	37.10545924
70	37.09138913
71	37.05997994
72	37.05119063
73	37.04489591
74	37.03743052
75	37.01169084
76	36.99963689
77	36.9946249
78	36.96752177
79	36.95527749
80	36.94481953
81	36.93824666
82	36.92353415
83	36.90235747
84	36.89486964
85	36.88739659
86	36.87505327
87	36.86682045
88	36.84830631
89	36.82706189
90	36.82207052
91	36.8147405
92	36.79679216
93	36.78975369
94	36.78559686
95	36.78000251
96	36.77564196
97	36.76833555
98	36.75351642
99	36.74440224
100	36.73745325
101	36.73083258
102	36.72757858
103	36.71217647
104	36.70807748
105	36.70357674
106	36.69909085
107	36.69394626
108	36.68769932
109	36.66654578
110	36.66073825
111	36.6566784
112	36.65112477
113	36.64559444
114	36.63898715
115	36.6345551
116	36.62190626
117	36.6176634
118	36.59770073
119	36.59135332
120	36.5867383
121	36.57232722
122	36.57030958
123	36.56253545
124	36.55246799
125	36.54893887
126	36.53974065
127	36.53319618
128	36.52624673
129	36.52177857
130	36.51612544
131	36.51177063
132	36.49395594
133	36.48119572
134	36.47830778
135	36.47424529
136	36.46633338
137	36.46282079
138	36.45174472
139	36.44547887
140	36.44080693
141	36.43844865
142	36.42876345
143	36.4248017
144	36.42031127
145	36.41703089
146	36.41286243
147	36.40567157
148	36.40129315
149	36.39460082
150	36.38957606
151	36.37682319
152	36.36809552
153	36.36115668
154	36.35612292
155	36.34836485
156	36.34460626
157	36.34132465
158	36.33202672
159	36.32698616
160	36.32159848
161	36.31478587
162	36.3065669
163	36.30358012
164	36.29883634
165	36.28859278
166	36.28484396
167	36.28105991
168	36.27781165
169	36.27008437
170	36.26651747
171	36.26365292
172	36.26020118
173	36.25645416
174	36.25375049
175	36.2475039
176	36.24122516
177	36.23829915
178	36.23147298
179	36.22866732
180	36.22616366
181	36.22324719
182	36.21198911
183	36.20681327
