iter	Passed	Remaining
0	54	54772
1	56	28326
2	58	19364
3	60	14969
4	61	12291
5	63	10464
6	64	9124
7	65	8132
8	66	7365
9	68	6746
10	70	6297
11	71	5904
12	73	5560
13	74	5260
14	76	5021
15	77	4780
16	79	4583
17	80	4381
18	81	4224
19	83	4071
20	84	3933
21	85	3806
22	86	3692
23	88	3580
24	89	3477
25	90	3377
26	91	3284
27	92	3200
28	93	3123
29	94	3052
30	95	2989
31	97	2939
32	98	2890
33	99	2840
34	101	2790
35	102	2747
36	103	2705
37	105	2673
38	106	2635
39	108	2595
40	109	2555
41	110	2518
42	111	2485
43	113	2457
44	114	2426
45	116	2410
46	117	2385
47	118	2358
48	120	2335
49	121	2312
50	123	2298
51	124	2276
52	126	2251
53	127	2228
54	128	2210
55	130	2191
56	131	2171
57	132	2153
58	134	2140
59	135	2123
60	136	2103
61	137	2085
62	139	2067
63	140	2048
64	141	2034
65	142	2016
66	143	2000
67	145	1989
68	146	1980
69	148	1966
70	149	1957
71	150	1945
72	152	1937
73	153	1926
74	155	1916
75	156	1904
76	157	1893
77	159	1885
78	160	1875
79	162	1863
80	163	1854
81	164	1844
82	166	1834
83	167	1823
84	168	1813
85	169	1804
86	171	1799
87	172	1791
88	174	1782
89	175	1774
90	177	1773
91	179	1767
92	180	1759
93	181	1749
94	182	1740
95	183	1732
96	185	1724
97	187	1721
98	188	1715
99	190	1711
100	193	1719
101	195	1717
102	196	1713
103	198	1707
104	199	1703
105	201	1696
106	202	1687
107	203	1681
108	204	1672
109	205	1664
110	206	1655
111	208	1650
112	209	1643
113	210	1636
114	211	1630
115	213	1623
116	214	1617
117	215	1612
118	216	1606
119	218	1599
120	219	1596
121	221	1592
122	222	1586
123	223	1581
124	225	1575
125	226	1571
126	227	1566
127	229	1561
128	230	1556
129	232	1553
130	233	1548
131	234	1543
132	236	1539
133	237	1533
134	238	1528
135	239	1522
136	240	1517
137	242	1514
138	243	1509
139	245	1505
140	246	1500
141	247	1496
142	249	1494
143	250	1489
144	251	1484
145	252	1479
146	254	1474
147	255	1469
148	256	1464
149	257	1460
150	258	1455
151	260	1450
152	261	1446
153	262	1441
154	263	1438
155	264	1433
156	266	1428
157	267	1424
158	268	1420
159	269	1416
160	270	1411
161	272	1407
162	273	1402
163	274	1398
164	275	1394
165	276	1390
166	277	1386
167	279	1381
168	280	1378
169	281	1374
170	282	1370
171	283	1366
172	284	1362
173	286	1358
174	287	1354
175	288	1350
176	289	1345
177	290	1341
178	291	1337
179	292	1333
180	293	1329
181	294	1325
182	295	1321
183	297	1317
184	298	1313
185	299	1310
186	300	1306
187	301	1303
188	303	1300
189	304	1296
190	305	1292
191	306	1288
192	307	1284
193	308	1280
194	309	1276
195	310	1272
196	311	1269
197	312	1265
198	313	1262
199	314	1258
200	315	1255
201	317	1252
202	318	1249
203	319	1246
204	320	1243
205	321	1240
206	322	1237
207	324	1233
208	325	1230
209	326	1227
210	327	1224
211	328	1221
212	329	1219
213	330	1215
214	331	1212
215	333	1209
216	334	1206
217	335	1204
218	337	1202
219	338	1200
220	339	1197
221	341	1196
222	342	1193
223	343	1190
224	344	1187
225	346	1185
226	347	1183
227	348	1180
228	349	1178
229	351	1175
230	352	1172
231	353	1170
232	354	1168
233	356	1165
234	357	1162
235	358	1159
236	359	1158
237	361	1156
238	362	1153
239	363	1150
240	364	1147
241	365	1145
242	366	1142
243	367	1139
244	368	1136
245	370	1134
246	371	1131
247	372	1128
248	373	1126
249	374	1123
250	375	1120
251	376	1117
252	377	1115
253	378	1112
254	379	1109
255	380	1106
256	382	1104
257	383	1101
258	384	1099
259	385	1096
260	386	1094
261	387	1092
262	388	1090
263	390	1088
264	391	1086
265	392	1083
266	393	1081
267	394	1078
268	396	1076
269	397	1074
270	398	1071
271	399	1069
272	400	1066
273	401	1064
274	402	1062
275	404	1060
276	405	1057
277	406	1055
278	407	1053
279	408	1051
280	410	1049
281	411	1047
282	412	1044
283	413	1042
284	414	1040
285	416	1038
286	417	1036
287	418	1034
288	419	1031
289	420	1029
290	421	1027
291	422	1025
292	424	1023
293	425	1020
294	426	1019
295	427	1017
296	428	1014
297	429	1012
298	431	1010
299	432	1009
300	433	1006
301	434	1004
302	435	1002
303	436	1000
304	437	997
305	439	995
306	440	993
307	441	991
308	442	989
309	443	986
310	444	985
311	445	983
312	447	981
313	448	979
314	449	977
315	450	975
316	451	973
317	452	971
318	453	969
319	455	967
320	456	965
321	457	963
322	458	961
323	459	959
324	460	957
325	462	955
326	463	953
327	464	951
328	465	949
329	466	947
330	467	945
331	468	943
332	469	941
333	470	938
334	471	936
335	472	934
336	473	932
337	474	930
338	475	928
339	476	925
340	478	923
341	479	921
342	480	919
343	481	917
344	482	915
345	483	913
346	484	912
347	485	910
348	487	908
349	488	907
350	489	905
351	490	903
352	491	901
353	493	899
354	494	897
355	495	896
356	496	893
357	497	891
358	498	889
359	499	888
360	500	886
361	502	884
362	503	883
363	504	881
364	505	879
365	506	878
366	508	876
367	509	874
368	510	872
369	511	871
370	513	870
371	514	868
372	515	867
373	517	865
374	518	863
375	519	861
376	520	859
377	521	857
378	522	856
379	523	854
380	524	852
381	526	850
382	527	849
383	528	847
384	529	845
385	530	844
386	531	842
387	533	840
388	534	839
389	535	837
390	536	835
391	537	834
392	539	832
393	540	830
394	541	829
395	542	827
396	543	825
397	544	823
398	545	821
399	546	819
400	547	817
401	548	815
402	549	814
403	550	812
404	551	810
405	552	808
406	554	807
407	555	805
408	556	803
409	557	802
410	558	800
411	559	798
412	560	797
413	561	795
414	562	793
415	563	791
416	564	789
417	565	787
418	566	786
419	568	784
420	569	782
421	570	780
422	571	779
423	572	777
424	573	775
425	574	773
426	575	772
427	576	770
428	577	768
429	578	767
430	579	765
431	580	763
432	581	761
433	582	759
434	583	758
435	584	756
436	585	754
437	586	752
438	587	751
439	588	749
440	590	747
441	591	746
442	592	744
443	593	742
444	594	741
445	595	739
