iter	Logloss
0	0.6763894342
1	0.6610700961
2	0.64620912
3	0.63242789
4	0.6192185836
5	0.606990698
6	0.5953532108
7	0.5846870659
8	0.5743156747
9	0.5648218846
10	0.5556491726
11	0.5472141069
12	0.5392763831
13	0.5316514222
14	0.5244653847
15	0.5177406545
16	0.5114455898
17	0.5054623828
18	0.4998189661
19	0.4947389673
20	0.4897401541
21	0.4851285253
22	0.4807508184
23	0.4765493927
24	0.4725771581
25	0.4689630629
26	0.4657062293
27	0.4623709458
28	0.4593341396
29	0.4563657602
30	0.4536413164
31	0.4509891951
32	0.4485711272
33	0.4458840101
34	0.443640519
35	0.4414756429
36	0.4394976433
37	0.4375499875
38	0.4357513332
39	0.4340486758
40	0.4324609303
41	0.4309365419
42	0.4295297805
43	0.4281737772
44	0.4268495224
45	0.4256169046
46	0.4244102985
47	0.423240496
48	0.4221664581
49	0.4211095764
50	0.420164557
51	0.4193043974
52	0.4183884273
53	0.4175374358
54	0.416513665
55	0.4157248752
56	0.4147784074
57	0.4139080105
58	0.4132594452
59	0.4126154809
60	0.4120283247
61	0.4114420792
62	0.4108665051
63	0.410333196
64	0.4098070035
65	0.4092993185
66	0.4088492531
67	0.4084145493
68	0.4079179652
69	0.4075363382
70	0.4071357636
71	0.4067902204
72	0.4064341848
73	0.406074957
74	0.4055099735
75	0.4051558533
76	0.4048455436
77	0.404526338
78	0.4042206735
79	0.4039611365
80	0.4036787345
81	0.4035062415
82	0.4032435127
83	0.4029783876
84	0.4027525911
85	0.4025385355
86	0.4023940797
87	0.4022169708
88	0.4018517832
89	0.4017142837
90	0.4011465735
91	0.4009109714
92	0.400504538
93	0.4003351988
94	0.4001593343
95	0.4000135887
96	0.3997102339
97	0.399422389
98	0.3992949558
99	0.3991637574
100	0.3989740247
101	0.3985940532
102	0.3981930799
103	0.3980706533
104	0.397934394
105	0.3977973674
106	0.3976807608
107	0.3975657989
108	0.3970972732
109	0.3969943792
110	0.3969136677
111	0.3967904081
112	0.396686441
113	0.3963706922
114	0.3962902507
115	0.3962067536
116	0.396123418
117	0.3957770296
118	0.3956797526
119	0.3955927982
120	0.3954873519
121	0.3954305269
122	0.3953311467
123	0.3952626914
124	0.3952049158
125	0.3951355797
126	0.3950900299
127	0.3950120631
128	0.3949255937
129	0.394849369
130	0.3947583728
131	0.3946855872
132	0.3945995869
133	0.3942745677
134	0.3938153202
135	0.3937633679
136	0.39372372
137	0.3936825852
138	0.3936219078
139	0.3935465466
140	0.3934915818
141	0.3934311683
142	0.3933805712
143	0.3932887557
144	0.3932362194
145	0.393122857
146	0.3925608213
147	0.3924905046
148	0.3924268603
149	0.3923013212
150	0.3922402673
151	0.3922120254
152	0.3921621977
153	0.3921219948
154	0.3920735134
155	0.3918336098
156	0.3914814957
157	0.3914439639
158	0.3914187579
159	0.391377628
160	0.3911769238
161	0.3910207709
162	0.3909275558
163	0.3908683801
164	0.390845682
165	0.3908113151
166	0.3907803386
167	0.3903520997
168	0.3903189189
169	0.3902549103
170	0.3902301986
171	0.3901965107
172	0.39012151
173	0.3900961568
174	0.3900800632
175	0.3900091113
176	0.389606025
177	0.3895784279
178	0.3895626472
179	0.3895404723
180	0.3893407914
181	0.3893220228
182	0.3892986083
183	0.3892507619
184	0.3892080825
185	0.3888719951
186	0.3888546332
187	0.3888272811
188	0.3887860077
189	0.3887603091
190	0.3887335026
191	0.3887196697
192	0.3887004454
193	0.3886660772
194	0.3886534137
195	0.3886364226
196	0.3886195386
197	0.3886031272
198	0.3885905849
199	0.3885667097
200	0.3885471569
201	0.3884910738
202	0.3884685038
203	0.3884493822
204	0.3884376251
205	0.3881250482
206	0.3881036977
207	0.3880855208
208	0.3880691328
209	0.3880556151
210	0.3880388455
211	0.388005443
212	0.3879025211
213	0.3878857651
214	0.3878474843
215	0.3877759439
216	0.3877680046
217	0.3877428523
218	0.3877272821
219	0.3877115892
220	0.3876826682
221	0.3876642884
222	0.3876463074
223	0.387636236
224	0.3876124197
225	0.3876036949
226	0.3875742157
227	0.3875498614
228	0.3875390894
229	0.3875267067
230	0.3872529615
231	0.3872348444
232	0.3872228858
233	0.3871884719
234	0.3871617315
235	0.3871505802
236	0.3871250168
237	0.3871042768
238	0.387093457
239	0.3870767961
240	0.3870627705
241	0.3870489838
242	0.3870409667
243	0.3869791818
244	0.38696964
245	0.3869604063
246	0.3869533185
247	0.3867081013
248	0.3866937261
249	0.3866596158
250	0.3866463887
251	0.3866358801
252	0.3865720785
253	0.3865204588
254	0.3865037979
255	0.386483319
256	0.386470965
257	0.386463161
258	0.3864546705
259	0.3864460562
260	0.3864194128
261	0.3864070361
262	0.3863805327
263	0.3863712614
264	0.3863624914
265	0.3863534657
266	0.3863074564
267	0.3863006693
268	0.386292054
269	0.3862776866
270	0.3862650702
271	0.3862585814
272	0.3862510392
273	0.386241651
274	0.3861175767
275	0.3861066789
276	0.3860961349
277	0.3858993074
278	0.3858158314
279	0.3857983134
280	0.3857805229
281	0.3857689141
282	0.3857626241
283	0.3857568412
284	0.3857500725
285	0.3857456473
286	0.3857370366
287	0.3857236185
288	0.3857068424
289	0.3856528537
290	0.3856300738
291	0.3856256375
292	0.3856203773
293	0.385608357
294	0.3856043158
295	0.385598283
296	0.3853926262
297	0.3853877655
298	0.3853778442
299	0.3853661168
300	0.3853488227
301	0.3853431803
302	0.385323055
303	0.385305217
304	0.3852975078
305	0.3852904383
306	0.3852824194
307	0.3852544247
308	0.3852489626
309	0.3850642113
310	0.3850602342
311	0.3848854437
312	0.3848812911
313	0.3848759315
314	0.384868529
315	0.3848505061
316	0.3848462012
317	0.3848369802
318	0.3848324216
319	0.3848260819
320	0.3848225435
321	0.3848109984
322	0.3848070628
323	0.3848014242
324	0.3847978692
325	0.3847919095
326	0.3847801243
327	0.3847682978
328	0.3847600294
329	0.3847546686
330	0.384745541
331	0.3847353177
332	0.3847132837
333	0.384701968
334	0.3845444007
335	0.3845385722
336	0.3845307821
337	0.3845210827
338	0.3845149312
339	0.3844971527
340	0.3844910984
341	0.3844839288
342	0.384474485
343	0.384465608
344	0.3844481345
345	0.3844162251
346	0.3844030259
347	0.3843950592
348	0.3843891032
349	0.3843837473
350	0.3843731193
351	0.3842570435
352	0.3842526448
353	0.3842486514
354	0.3842452144
355	0.3842398814
356	0.3842319975
357	0.3842234035
358	0.3841040455
359	0.3840921956
360	0.3840826077
361	0.3840784164
362	0.3840755607
363	0.3840706241
364	0.3840580691
365	0.3840539092
366	0.3840445819
367	0.384035314
368	0.3840290614
369	0.3840239259
370	0.3840191763
371	0.3840137852
372	0.3839985152
373	0.3839700346
374	0.3838570165
375	0.3838439745
376	0.3838408647
377	0.3838360801
378	0.3838286024
379	0.3838191903
380	0.3838123256
381	0.3838015129
382	0.3837983992
383	0.3837928559
384	0.3837893031
385	0.3837840555
386	0.3837770589
387	0.3837720357
388	0.3837685682
389	0.3837601937
390	0.3837556208
391	0.383749663
392	0.3837440585
393	0.3836456456
394	0.3836411954
395	0.3836341927
396	0.3836294841
397	0.3835464866
398	0.3835427226
399	0.3835357951
400	0.3835297736
401	0.3835243143
402	0.383522343
403	0.3834250236
404	0.3834150076
405	0.3834097794
406	0.3833970385
407	0.3833910798
408	0.3833848394
409	0.3833742565
410	0.383368561
411	0.3833563794
412	0.383349673
413	0.3833406184
414	0.3833289244
415	0.383324984
416	0.3833221636
417	0.3833179198
418	0.3833153242
419	0.3833029508
420	0.3832971806
421	0.3832933829
422	0.3832846745
423	0.3832640153
424	0.3832588216
425	0.383251327
426	0.3832487762
427	0.3832453829
428	0.3832409851
429	0.3832394553
430	0.3832355113
431	0.3832331446
432	0.3832284993
433	0.3832251898
434	0.3832191393
435	0.3832161123
436	0.3832125771
437	0.3832067963
438	0.3831983436
439	0.3831953277
440	0.383192262
441	0.3831838125
442	0.3831802363
443	0.3831751226
444	0.3830987336
445	0.3830247094
446	0.3830138636
447	0.3830068406
448	0.3830032987
449	0.3829966642
450	0.3829916784
451	0.3829680173
452	0.3829637962
453	0.3829612582
454	0.3829561445
455	0.3829480297
456	0.3829459685
457	0.3829427753
458	0.3829408975
459	0.3829294658
460	0.3829241628
461	0.3829172783
462	0.3829088428
463	0.3829048336
464	0.3829000048
465	0.3828913466
466	0.3828878608
467	0.3828805143
468	0.3828757278
469	0.3828725489
470	0.3828636865
471	0.3828541268
472	0.3828439929
473	0.3827833126
474	0.3827761568
475	0.3827725582
476	0.3827671143
477	0.3827636574
478	0.382757749
479	0.3827539072
480	0.3827501434
481	0.3827471509
482	0.3827344453
483	0.3827266335
484	0.3827240144
485	0.382719632
